text,createdAt,clean_text
"From what I see, My experience working at Microsoft has been average so far for most employees.",2024-04-27,see experience working microsoft average far employee
"Currently, Microsoft layoffs have affected employee morale in recent months.",2024-01-13,currently microsoft layoff affected employee morale recent month
"In my experience, Employee experience at Microsoft depends on management these days.",2024-02-04,experience employee experience microsoft depends management day
"As an employee, Job stress at Microsoft has risen after restructuring these days.",2024-04-03,employee job stress microsoft risen restructuring day
"Currently, Working at Microsoft has been a great learning experience for most employees.",2024-02-19,currently working microsoft great learning experience employee
"As an employee, Workload at Microsoft varies by role for most employees.",2024-06-23,employee workload microsoft varies role employee
"In my experience, Microsoft work culture depends a lot on the team these days.",2024-04-05,experience microsoft work culture depends lot team day
"Currently, Management decisions at Microsoft are frustrating in recent months.",2024-02-06,currently management decision microsoft frustrating recent month
"Currently, Career growth opportunities at Microsoft are solid overall.",2024-01-12,currently career growth opportunity microsoft solid overall
"As an employee, The team culture at Microsoft is supportive and inclusive for most employees.",2024-03-22,employee team culture microsoft supportive inclusive employee
"From what I see, Poor communication from management at Microsoft for most employees.",2024-03-17,see poor communication management microsoft employee
"As an employee, My experience working at Microsoft has been average so far in recent months.",2024-06-21,employee experience working microsoft average far recent month
"Currently, Career growth opportunities at Microsoft are solid in recent months.",2024-06-25,currently career growth opportunity microsoft solid recent month
"Currently, Work life balance at Microsoft could be better for most employees.",2024-02-28,currently work life balance microsoft could better employee
"Personally, Microsoft offers good work life balance and flexibility overall.",2024-04-22,personally microsoft offer good work life balance flexibility overall
"Currently, Great benefits and compensation at Microsoft in recent months.",2024-06-18,currently great benefit compensation microsoft recent month
"As an employee, Some teams at Microsoft are better than others based on my experience.",2024-04-27,employee team microsoft better others based experience
"Currently, Management decisions at Microsoft are frustrating in recent months.",2024-06-22,currently management decision microsoft frustrating recent month
"Honestly, Job stress at Microsoft has risen after restructuring in recent months.",2024-06-05,honestly job stress microsoft risen restructuring recent month
"As an employee, Microsoft work culture depends a lot on the team for most employees.",2024-03-17,employee microsoft work culture depends lot team employee
"As an employee, I enjoy collaborating with talented colleagues at Microsoft based on my experience.",2024-06-25,employee enjoy collaborating talented colleague microsoft based experience
"Honestly, Work life balance at Microsoft could be better in recent months.",2024-03-14,honestly work life balance microsoft could better recent month
"From what I see, Career growth opportunities at Microsoft are solid in recent months.",2024-02-07,see career growth opportunity microsoft solid recent month
"As an employee, Job stress at Microsoft has risen after restructuring these days.",2024-02-24,employee job stress microsoft risen restructuring day
"Personally, Great benefits and compensation at Microsoft overall.",2024-06-20,personally great benefit compensation microsoft overall
"Honestly, Microsoft layoffs have affected employee morale based on my experience.",2024-01-14,honestly microsoft layoff affected employee morale based experience
"In my experience, Microsoft work culture depends a lot on the team for most employees.",2024-02-10,experience microsoft work culture depends lot team employee
"In my experience, Working at Microsoft has been a great learning experience for most employees.",2024-02-29,experience working microsoft great learning experience employee
"In my experience, Microsoft layoffs have affected employee morale these days.",2024-05-06,experience microsoft layoff affected employee morale day
"As an employee, My experience working at Microsoft has been average so far in recent months.",2024-04-26,employee experience working microsoft average far recent month
"Currently, Poor communication from management at Microsoft these days.",2024-02-04,currently poor communication management microsoft day
"As an employee, Burnout is becoming common among Microsoft employees based on my experience.",2024-01-29,employee burnout becoming common among microsoft employee based experience
"As an employee, Microsoft provides strong engineering standards for most employees.",2024-06-21,employee microsoft provides strong engineering standard employee
"Currently, Microsoft layoffs have affected employee morale these days.",2024-04-19,currently microsoft layoff affected employee morale day
"From what I see, My experience working at Microsoft has been average so far overall.",2024-02-17,see experience working microsoft average far overall
"As an employee, Burnout is becoming common among Microsoft employees based on my experience.",2024-01-02,employee burnout becoming common among microsoft employee based experience
"From what I see, Great benefits and compensation at Microsoft in recent months.",2024-03-25,see great benefit compensation microsoft recent month
"As an employee, Working at Microsoft has been a great learning experience in recent months.",2024-06-26,employee working microsoft great learning experience recent month
"From what I see, Microsoft offers good work life balance and flexibility in recent months.",2024-02-10,see microsoft offer good work life balance flexibility recent month
"As an employee, I enjoy collaborating with talented colleagues at Microsoft for most employees.",2024-02-26,employee enjoy collaborating talented colleague microsoft employee
"As an employee, Workload at Microsoft varies by role these days.",2024-06-28,employee workload microsoft varies role day
"Currently, Great benefits and compensation at Microsoft for most employees.",2024-02-08,currently great benefit compensation microsoft employee
"From what I see, Career growth opportunities at Microsoft are solid for most employees.",2024-01-15,see career growth opportunity microsoft solid employee
"As an employee, Microsoft offers stability but growth can be slow overall.",2024-04-11,employee microsoft offer stability growth slow overall
"Honestly, Working at Microsoft has been a great learning experience based on my experience.",2024-05-28,honestly working microsoft great learning experience based experience
"As an employee, Career growth opportunities at Microsoft are solid overall.",2024-05-18,employee career growth opportunity microsoft solid overall
"Personally, Employee experience at Microsoft depends on management these days.",2024-04-05,personally employee experience microsoft depends management day
"From what I see, Burnout is becoming common among Microsoft employees these days.",2024-04-06,see burnout becoming common among microsoft employee day
"Currently, Career growth opportunities at Microsoft are solid based on my experience.",2024-02-27,currently career growth opportunity microsoft solid based experience
"In my experience, Work life balance at Microsoft could be better in recent months.",2024-04-28,experience work life balance microsoft could better recent month
"From what I see, Microsoft layoffs have affected employee morale in recent months.",2024-02-09,see microsoft layoff affected employee morale recent month
"In my experience, Microsoft offers good work life balance and flexibility these days.",2024-06-06,experience microsoft offer good work life balance flexibility day
"From what I see, Working at Microsoft has been a great learning experience for most employees.",2024-06-21,see working microsoft great learning experience employee
"Personally, My experience working at Microsoft has been average so far overall.",2024-04-12,personally experience working microsoft average far overall
"Honestly, Employee experience at Microsoft depends on management in recent months.",2024-03-01,honestly employee experience microsoft depends management recent month
"Honestly, Microsoft layoffs have affected employee morale these days.",2024-05-22,honestly microsoft layoff affected employee morale day
"From what I see, Career growth opportunities at Microsoft are solid based on my experience.",2024-03-17,see career growth opportunity microsoft solid based experience
"From what I see, Microsoft layoffs have affected employee morale overall.",2024-05-23,see microsoft layoff affected employee morale overall
"As an employee, Leadership encourages innovation and ownership at Microsoft overall.",2024-05-17,employee leadership encourages innovation ownership microsoft overall
"In my experience, Microsoft work culture depends a lot on the team in recent months.",2024-04-06,experience microsoft work culture depends lot team recent month
"Honestly, Poor communication from management at Microsoft for most employees.",2024-02-25,honestly poor communication management microsoft employee
"As an employee, Employee experience at Microsoft depends on management in recent months.",2024-01-04,employee employee experience microsoft depends management recent month
"Honestly, Great benefits and compensation at Microsoft overall.",2024-05-02,honestly great benefit compensation microsoft overall
"Currently, Job stress at Microsoft has risen after restructuring based on my experience.",2024-04-11,currently job stress microsoft risen restructuring based experience
"As an employee, Poor communication from management at Microsoft in recent months.",2024-04-07,employee poor communication management microsoft recent month
"As an employee, Microsoft offers stability but growth can be slow in recent months.",2024-03-07,employee microsoft offer stability growth slow recent month
"Personally, Management decisions at Microsoft are frustrating in recent months.",2024-03-21,personally management decision microsoft frustrating recent month
"As an employee, Career growth opportunities at Microsoft are solid based on my experience.",2024-02-20,employee career growth opportunity microsoft solid based experience
"Currently, Career growth opportunities at Microsoft are solid based on my experience.",2024-05-07,currently career growth opportunity microsoft solid based experience
"As an employee, Microsoft offers stability but growth can be slow in recent months.",2024-05-05,employee microsoft offer stability growth slow recent month
"Honestly, Job stress at Microsoft has risen after restructuring these days.",2024-04-27,honestly job stress microsoft risen restructuring day
"Honestly, Microsoft offers good work life balance and flexibility overall.",2024-01-02,honestly microsoft offer good work life balance flexibility overall
"Honestly, Employee experience at Microsoft depends on management based on my experience.",2024-01-18,honestly employee experience microsoft depends management based experience
"Personally, My experience working at Microsoft has been average so far for most employees.",2024-04-26,personally experience working microsoft average far employee
"In my experience, Career growth opportunities at Microsoft are solid overall.",2024-05-15,experience career growth opportunity microsoft solid overall
"As an employee, Workload at Microsoft varies by role overall.",2024-05-08,employee workload microsoft varies role overall
"From what I see, Job stress at Microsoft has risen after restructuring based on my experience.",2024-01-28,see job stress microsoft risen restructuring based experience
"Personally, Poor communication from management at Microsoft based on my experience.",2024-02-19,personally poor communication management microsoft based experience
"As an employee, Overall experience at Microsoft is acceptable in recent months.",2024-04-11,employee overall experience microsoft acceptable recent month
"From what I see, Career growth opportunities at Microsoft are solid for most employees.",2024-03-03,see career growth opportunity microsoft solid employee
"As an employee, Microsoft layoffs have affected employee morale overall.",2024-06-16,employee microsoft layoff affected employee morale overall
"In my experience, Job stress at Microsoft has risen after restructuring overall.",2024-04-13,experience job stress microsoft risen restructuring overall
"As an employee, Leadership encourages innovation and ownership at Microsoft overall.",2024-01-20,employee leadership encourages innovation ownership microsoft overall
"In my experience, Career growth opportunities at Microsoft are solid in recent months.",2024-02-11,experience career growth opportunity microsoft solid recent month
"As an employee, Microsoft offers good work life balance and flexibility for most employees.",2024-06-06,employee microsoft offer good work life balance flexibility employee
"As an employee, Burnout is becoming common among Microsoft employees overall.",2024-06-11,employee burnout becoming common among microsoft employee overall
"In my experience, Job stress at Microsoft has risen after restructuring overall.",2024-03-09,experience job stress microsoft risen restructuring overall
"In my experience, Microsoft offers good work life balance and flexibility in recent months.",2024-04-23,experience microsoft offer good work life balance flexibility recent month
"Currently, Leadership encourages innovation and ownership at Microsoft for most employees.",2024-05-11,currently leadership encourages innovation ownership microsoft employee
"In my experience, My experience working at Microsoft has been average so far in recent months.",2024-05-21,experience experience working microsoft average far recent month
"In my experience, Employee experience at Microsoft depends on management for most employees.",2024-03-03,experience employee experience microsoft depends management employee
"Honestly, Microsoft work culture depends a lot on the team these days.",2024-02-13,honestly microsoft work culture depends lot team day
"As an employee, I enjoy collaborating with talented colleagues at Microsoft these days.",2024-02-07,employee enjoy collaborating talented colleague microsoft day
"As an employee, Career growth opportunities at Microsoft are solid these days.",2024-03-17,employee career growth opportunity microsoft solid day
"As an employee, My experience working at Microsoft has been average so far in recent months.",2024-03-04,employee experience working microsoft average far recent month
"As an employee, Microsoft work culture depends a lot on the team overall.",2024-04-11,employee microsoft work culture depends lot team overall
"As an employee, Career growth opportunities at Microsoft are solid these days.",2024-03-26,employee career growth opportunity microsoft solid day
"Honestly, Employee experience at Microsoft depends on management for most employees.",2024-02-04,honestly employee experience microsoft depends management employee
"From what I see, Great benefits and compensation at Microsoft in recent months.",2024-02-15,see great benefit compensation microsoft recent month
"As an employee, Management decisions at Microsoft are frustrating these days.",2024-05-27,employee management decision microsoft frustrating day
"From what I see, Management decisions at Microsoft are frustrating in recent months.",2024-04-10,see management decision microsoft frustrating recent month
"Currently, Great benefits and compensation at Microsoft for most employees.",2024-02-16,currently great benefit compensation microsoft employee
"Honestly, Microsoft work culture depends a lot on the team in recent months.",2024-03-02,honestly microsoft work culture depends lot team recent month
"Honestly, Employee experience at Microsoft depends on management these days.",2024-05-19,honestly employee experience microsoft depends management day
"In my experience, My experience working at Microsoft has been average so far based on my experience.",2024-06-17,experience experience working microsoft average far based experience
"Honestly, Microsoft work culture depends a lot on the team for most employees.",2024-01-12,honestly microsoft work culture depends lot team employee
"In my experience, Burnout is becoming common among Microsoft employees overall.",2024-01-26,experience burnout becoming common among microsoft employee overall
"From what I see, Great benefits and compensation at Microsoft in recent months.",2024-04-10,see great benefit compensation microsoft recent month
"From what I see, Working at Microsoft has been a great learning experience overall.",2024-03-16,see working microsoft great learning experience overall
"In my experience, My experience working at Microsoft has been average so far based on my experience.",2024-03-30,experience experience working microsoft average far based experience
"Personally, Leadership encourages innovation and ownership at Microsoft for most employees.",2024-05-03,personally leadership encourages innovation ownership microsoft employee
"From what I see, Microsoft offers good work life balance and flexibility these days.",2024-03-22,see microsoft offer good work life balance flexibility day
"Honestly, Working at Microsoft has been a great learning experience overall.",2024-01-06,honestly working microsoft great learning experience overall
"In my experience, Job stress at Microsoft has risen after restructuring based on my experience.",2024-03-03,experience job stress microsoft risen restructuring based experience
"From what I see, Career growth opportunities at Microsoft are solid overall.",2024-06-06,see career growth opportunity microsoft solid overall
"Currently, Burnout is becoming common among Microsoft employees these days.",2024-04-09,currently burnout becoming common among microsoft employee day
"Personally, Great benefits and compensation at Microsoft in recent months.",2024-06-29,personally great benefit compensation microsoft recent month
"Currently, Career growth opportunities at Microsoft are solid overall.",2024-03-30,currently career growth opportunity microsoft solid overall
"As an employee, The team culture at Microsoft is supportive and inclusive these days.",2024-06-07,employee team culture microsoft supportive inclusive day
"Currently, Career growth opportunities at Microsoft are solid for most employees.",2024-06-16,currently career growth opportunity microsoft solid employee
"Currently, My experience working at Microsoft has been average so far overall.",2024-02-26,currently experience working microsoft average far overall
"Personally, I enjoy collaborating with talented colleagues at Microsoft for most employees.",2024-03-14,personally enjoy collaborating talented colleague microsoft employee
"Currently, Management decisions at Microsoft are frustrating overall.",2024-04-22,currently management decision microsoft frustrating overall
"As an employee, Poor communication from management at Microsoft for most employees.",2024-03-12,employee poor communication management microsoft employee
"As an employee, Microsoft work culture depends a lot on the team in recent months.",2024-03-15,employee microsoft work culture depends lot team recent month
"Currently, Employee experience at Microsoft depends on management overall.",2024-02-04,currently employee experience microsoft depends management overall
"From what I see, Work life balance at Microsoft could be better overall.",2024-03-11,see work life balance microsoft could better overall
"Honestly, Microsoft layoffs have affected employee morale based on my experience.",2024-03-04,honestly microsoft layoff affected employee morale based experience
"As an employee, Microsoft offers stability but growth can be slow these days.",2024-05-04,employee microsoft offer stability growth slow day
"Honestly, Working at Microsoft has been a great learning experience overall.",2024-04-27,honestly working microsoft great learning experience overall
"As an employee, Microsoft offers stability but growth can be slow overall.",2024-05-16,employee microsoft offer stability growth slow overall
"Personally, Career growth opportunities at Microsoft are solid these days.",2024-03-09,personally career growth opportunity microsoft solid day
"As an employee, I enjoy collaborating with talented colleagues at Microsoft for most employees.",2024-05-27,employee enjoy collaborating talented colleague microsoft employee
"As an employee, Leadership encourages innovation and ownership at Microsoft overall.",2024-01-12,employee leadership encourages innovation ownership microsoft overall
"From what I see, My experience working at Microsoft has been average so far based on my experience.",2024-06-25,see experience working microsoft average far based experience
"As an employee, Job stress at Microsoft has risen after restructuring based on my experience.",2024-03-11,employee job stress microsoft risen restructuring based experience
"As an employee, Microsoft provides strong engineering standards overall.",2024-04-05,employee microsoft provides strong engineering standard overall
"Currently, Microsoft work culture depends a lot on the team based on my experience.",2024-05-12,currently microsoft work culture depends lot team based experience
"In my experience, My experience working at Microsoft has been average so far in recent months.",2024-01-31,experience experience working microsoft average far recent month
"Honestly, Burnout is becoming common among Microsoft employees based on my experience.",2024-05-02,honestly burnout becoming common among microsoft employee based experience
"In my experience, Career growth opportunities at Microsoft are solid overall.",2024-01-27,experience career growth opportunity microsoft solid overall
"Honestly, Great benefits and compensation at Microsoft based on my experience.",2024-04-15,honestly great benefit compensation microsoft based experience
"Currently, Microsoft offers good work life balance and flexibility these days.",2024-03-30,currently microsoft offer good work life balance flexibility day
"Personally, Management decisions at Microsoft are frustrating based on my experience.",2024-03-11,personally management decision microsoft frustrating based experience
"Currently, Microsoft work culture depends a lot on the team for most employees.",2024-06-02,currently microsoft work culture depends lot team employee
"Currently, Microsoft layoffs have affected employee morale for most employees.",2024-05-10,currently microsoft layoff affected employee morale employee
"As an employee, Career growth opportunities at Microsoft are solid overall.",2024-03-02,employee career growth opportunity microsoft solid overall
"Personally, My experience working at Microsoft has been average so far these days.",2024-06-12,personally experience working microsoft average far day
"As an employee, Career growth opportunities at Microsoft are solid for most employees.",2024-06-23,employee career growth opportunity microsoft solid employee
"Currently, Burnout is becoming common among Microsoft employees in recent months.",2024-06-09,currently burnout becoming common among microsoft employee recent month
"From what I see, Employee experience at Microsoft depends on management these days.",2024-06-28,see employee experience microsoft depends management day
"As an employee, Microsoft offers good work life balance and flexibility overall.",2024-05-10,employee microsoft offer good work life balance flexibility overall
"Personally, Work life balance at Microsoft could be better for most employees.",2024-03-24,personally work life balance microsoft could better employee
"As an employee, Microsoft offers good work life balance and flexibility these days.",2024-03-02,employee microsoft offer good work life balance flexibility day
"From what I see, Microsoft offers good work life balance and flexibility overall.",2024-04-26,see microsoft offer good work life balance flexibility overall
"As an employee, My experience working at Microsoft has been average so far based on my experience.",2024-01-31,employee experience working microsoft average far based experience
"As an employee, Work pressure at Microsoft has increased recently these days.",2024-03-10,employee work pressure microsoft increased recently day
"Currently, Microsoft offers good work life balance and flexibility overall.",2024-02-28,currently microsoft offer good work life balance flexibility overall
"In my experience, My experience working at Microsoft has been average so far overall.",2024-03-03,experience experience working microsoft average far overall
"In my experience, Work life balance at Microsoft could be better for most employees.",2024-06-16,experience work life balance microsoft could better employee
"Currently, Microsoft offers good work life balance and flexibility in recent months.",2024-01-31,currently microsoft offer good work life balance flexibility recent month
"Personally, My experience working at Microsoft has been average so far based on my experience.",2024-05-12,personally experience working microsoft average far based experience
"In my experience, Burnout is becoming common among Microsoft employees these days.",2024-03-13,experience burnout becoming common among microsoft employee day
"As an employee, Management decisions at Microsoft are frustrating overall.",2024-05-21,employee management decision microsoft frustrating overall
"Currently, Job stress at Microsoft has risen after restructuring based on my experience.",2024-04-28,currently job stress microsoft risen restructuring based experience
"Personally, Leadership encourages innovation and ownership at Microsoft for most employees.",2024-03-03,personally leadership encourages innovation ownership microsoft employee
"In my experience, Career growth opportunities at Microsoft are solid based on my experience.",2024-05-18,experience career growth opportunity microsoft solid based experience
"As an employee, Working at Microsoft has been a great learning experience overall.",2024-06-17,employee working microsoft great learning experience overall
"From what I see, Burnout is becoming common among Microsoft employees overall.",2024-02-06,see burnout becoming common among microsoft employee overall
"In my experience, My experience working at Microsoft has been average so far based on my experience.",2024-05-13,experience experience working microsoft average far based experience
"From what I see, My experience working at Microsoft has been average so far based on my experience.",2024-03-01,see experience working microsoft average far based experience
"In my experience, Microsoft work culture depends a lot on the team based on my experience.",2024-02-04,experience microsoft work culture depends lot team based experience
"In my experience, Poor communication from management at Microsoft based on my experience.",2024-01-28,experience poor communication management microsoft based experience
"As an employee, Leadership encourages innovation and ownership at Microsoft these days.",2024-01-31,employee leadership encourages innovation ownership microsoft day
"Personally, Employee experience at Microsoft depends on management these days.",2024-03-19,personally employee experience microsoft depends management day
"In my experience, Employee experience at Microsoft depends on management overall.",2024-02-10,experience employee experience microsoft depends management overall
"Honestly, Management decisions at Microsoft are frustrating for most employees.",2024-01-11,honestly management decision microsoft frustrating employee
"Currently, Burnout is becoming common among Microsoft employees overall.",2024-06-22,currently burnout becoming common among microsoft employee overall
"Personally, Microsoft layoffs have affected employee morale based on my experience.",2024-04-12,personally microsoft layoff affected employee morale based experience
"Currently, Microsoft offers good work life balance and flexibility for most employees.",2024-03-07,currently microsoft offer good work life balance flexibility employee
"Personally, Burnout is becoming common among Microsoft employees overall.",2024-03-25,personally burnout becoming common among microsoft employee overall
"Personally, Career growth opportunities at Microsoft are solid in recent months.",2024-02-24,personally career growth opportunity microsoft solid recent month
"As an employee, Management decisions at Microsoft are frustrating these days.",2024-02-08,employee management decision microsoft frustrating day
"Honestly, Great benefits and compensation at Microsoft in recent months.",2024-05-07,honestly great benefit compensation microsoft recent month
"Personally, Poor communication from management at Microsoft for most employees.",2024-01-05,personally poor communication management microsoft employee
"Honestly, Work life balance at Microsoft could be better in recent months.",2024-05-02,honestly work life balance microsoft could better recent month
"As an employee, Some teams at Microsoft are better than others for most employees.",2024-05-08,employee team microsoft better others employee
"As an employee, My experience working at Microsoft has been average so far overall.",2024-04-30,employee experience working microsoft average far overall
"Currently, Employee experience at Microsoft depends on management based on my experience.",2024-02-10,currently employee experience microsoft depends management based experience
"As an employee, Great benefits and compensation at Microsoft for most employees.",2024-01-15,employee great benefit compensation microsoft employee
"Currently, Microsoft layoffs have affected employee morale these days.",2024-03-31,currently microsoft layoff affected employee morale day
"Personally, Work life balance at Microsoft could be better based on my experience.",2024-03-01,personally work life balance microsoft could better based experience
"Honestly, Employee experience at Microsoft depends on management in recent months.",2024-05-31,honestly employee experience microsoft depends management recent month
"From what I see, Microsoft work culture depends a lot on the team for most employees.",2024-03-20,see microsoft work culture depends lot team employee
"In my experience, Working at Microsoft has been a great learning experience overall.",2024-02-29,experience working microsoft great learning experience overall
"Currently, My experience working at Microsoft has been average so far these days.",2024-01-01,currently experience working microsoft average far day
"Personally, Great benefits and compensation at Microsoft in recent months.",2024-02-15,personally great benefit compensation microsoft recent month
"As an employee, Work life balance at Microsoft could be better overall.",2024-01-06,employee work life balance microsoft could better overall
"Honestly, Management decisions at Microsoft are frustrating these days.",2024-05-30,honestly management decision microsoft frustrating day
"As an employee, I enjoy collaborating with talented colleagues at Microsoft based on my experience.",2024-02-10,employee enjoy collaborating talented colleague microsoft based experience
"From what I see, Poor communication from management at Microsoft for most employees.",2024-01-09,see poor communication management microsoft employee
"As an employee, Microsoft offers good work life balance and flexibility in recent months.",2024-01-28,employee microsoft offer good work life balance flexibility recent month
"From what I see, My experience working at Microsoft has been average so far these days.",2024-04-17,see experience working microsoft average far day
"From what I see, Burnout is becoming common among Microsoft employees these days.",2024-03-30,see burnout becoming common among microsoft employee day
"From what I see, My experience working at Microsoft has been average so far for most employees.",2024-06-15,see experience working microsoft average far employee
"Personally, Microsoft layoffs have affected employee morale these days.",2024-01-19,personally microsoft layoff affected employee morale day
"As an employee, Work pressure at Microsoft has increased recently overall.",2024-03-22,employee work pressure microsoft increased recently overall
"In my experience, Microsoft offers good work life balance and flexibility in recent months.",2024-02-13,experience microsoft offer good work life balance flexibility recent month
"Honestly, Microsoft layoffs have affected employee morale overall.",2024-05-20,honestly microsoft layoff affected employee morale overall
"As an employee, Work pressure at Microsoft has increased recently for most employees.",2024-06-06,employee work pressure microsoft increased recently employee
"In my experience, Job stress at Microsoft has risen after restructuring these days.",2024-06-16,experience job stress microsoft risen restructuring day
"Personally, Career growth opportunities at Microsoft are solid overall.",2024-01-26,personally career growth opportunity microsoft solid overall
"From what I see, Great benefits and compensation at Microsoft for most employees.",2024-05-18,see great benefit compensation microsoft employee
"As an employee, I enjoy collaborating with talented colleagues at Microsoft based on my experience.",2024-01-25,employee enjoy collaborating talented colleague microsoft based experience
"As an employee, Microsoft offers good work life balance and flexibility for most employees.",2024-05-02,employee microsoft offer good work life balance flexibility employee
"Personally, Working at Microsoft has been a great learning experience based on my experience.",2024-06-12,personally working microsoft great learning experience based experience
"From what I see, Microsoft offers good work life balance and flexibility overall.",2024-03-19,see microsoft offer good work life balance flexibility overall
"From what I see, Burnout is becoming common among Microsoft employees in recent months.",2024-01-24,see burnout becoming common among microsoft employee recent month
"As an employee, Microsoft work culture depends a lot on the team for most employees.",2024-01-16,employee microsoft work culture depends lot team employee
"In my experience, Microsoft offers good work life balance and flexibility in recent months.",2024-05-18,experience microsoft offer good work life balance flexibility recent month
"Currently, Employee experience at Microsoft depends on management based on my experience.",2024-05-21,currently employee experience microsoft depends management based experience
"Currently, Career growth opportunities at Microsoft are solid these days.",2024-05-17,currently career growth opportunity microsoft solid day
"Honestly, Career growth opportunities at Microsoft are solid overall.",2024-05-08,honestly career growth opportunity microsoft solid overall
"In my experience, Microsoft layoffs have affected employee morale these days.",2024-01-21,experience microsoft layoff affected employee morale day
"Personally, Burnout is becoming common among Microsoft employees based on my experience.",2024-06-01,personally burnout becoming common among microsoft employee based experience
"In my experience, Microsoft offers good work life balance and flexibility these days.",2024-05-22,experience microsoft offer good work life balance flexibility day
"As an employee, Microsoft provides strong engineering standards for most employees.",2024-04-27,employee microsoft provides strong engineering standard employee
"In my experience, Microsoft offers good work life balance and flexibility for most employees.",2024-01-26,experience microsoft offer good work life balance flexibility employee
"Currently, Work life balance at Microsoft could be better in recent months.",2024-04-15,currently work life balance microsoft could better recent month
"Currently, Leadership encourages innovation and ownership at Microsoft for most employees.",2024-05-01,currently leadership encourages innovation ownership microsoft employee
"Honestly, Management decisions at Microsoft are frustrating based on my experience.",2024-01-13,honestly management decision microsoft frustrating based experience
"As an employee, Overall experience at Microsoft is acceptable overall.",2024-03-27,employee overall experience microsoft acceptable overall
"As an employee, Management decisions at Microsoft are frustrating in recent months.",2024-05-05,employee management decision microsoft frustrating recent month
"In my experience, Job stress at Microsoft has risen after restructuring based on my experience.",2024-02-04,experience job stress microsoft risen restructuring based experience
"As an employee, Leadership encourages innovation and ownership at Microsoft in recent months.",2024-04-16,employee leadership encourages innovation ownership microsoft recent month
"Personally, My experience working at Microsoft has been average so far these days.",2024-02-24,personally experience working microsoft average far day
"Honestly, Burnout is becoming common among Microsoft employees these days.",2024-05-12,honestly burnout becoming common among microsoft employee day
"In my experience, Work life balance at Microsoft could be better for most employees.",2024-02-10,experience work life balance microsoft could better employee
"Personally, Career growth opportunities at Microsoft are solid for most employees.",2024-05-25,personally career growth opportunity microsoft solid employee
"Personally, Great benefits and compensation at Microsoft overall.",2024-03-04,personally great benefit compensation microsoft overall
"As an employee, Working at Microsoft has been a great learning experience based on my experience.",2024-03-11,employee working microsoft great learning experience based experience
"In my experience, Job stress at Microsoft has risen after restructuring based on my experience.",2024-04-05,experience job stress microsoft risen restructuring based experience
"From what I see, Working at Microsoft has been a great learning experience overall.",2024-02-11,see working microsoft great learning experience overall
"Personally, Work life balance at Microsoft could be better based on my experience.",2024-06-14,personally work life balance microsoft could better based experience
"As an employee, Great benefits and compensation at Microsoft these days.",2024-05-11,employee great benefit compensation microsoft day
"From what I see, Working at Microsoft has been a great learning experience based on my experience.",2024-06-14,see working microsoft great learning experience based experience
"Personally, Working at Microsoft has been a great learning experience in recent months.",2024-06-04,personally working microsoft great learning experience recent month
"Honestly, Management decisions at Microsoft are frustrating in recent months.",2024-04-18,honestly management decision microsoft frustrating recent month
"As an employee, Work life balance at Microsoft could be better these days.",2024-03-05,employee work life balance microsoft could better day
"Honestly, I enjoy collaborating with talented colleagues at Microsoft for most employees.",2024-06-08,honestly enjoy collaborating talented colleague microsoft employee
"In my experience, Microsoft offers good work life balance and flexibility for most employees.",2024-06-18,experience microsoft offer good work life balance flexibility employee
"As an employee, Work life balance at Microsoft could be better for most employees.",2024-06-14,employee work life balance microsoft could better employee
"As an employee, Overall experience at Microsoft is acceptable overall.",2024-05-03,employee overall experience microsoft acceptable overall
"As an employee, Overall experience at Microsoft is acceptable these days.",2024-04-13,employee overall experience microsoft acceptable day
"Currently, Working at Microsoft has been a great learning experience for most employees.",2024-02-18,currently working microsoft great learning experience employee
"Honestly, Great benefits and compensation at Microsoft for most employees.",2024-06-12,honestly great benefit compensation microsoft employee
"As an employee, Job stress at Microsoft has risen after restructuring for most employees.",2024-03-17,employee job stress microsoft risen restructuring employee
"Honestly, Work life balance at Microsoft could be better for most employees.",2024-02-16,honestly work life balance microsoft could better employee
"Honestly, Microsoft layoffs have affected employee morale in recent months.",2024-06-16,honestly microsoft layoff affected employee morale recent month
"As an employee, Management decisions at Microsoft are frustrating in recent months.",2024-05-29,employee management decision microsoft frustrating recent month
"From what I see, Microsoft offers good work life balance and flexibility overall.",2024-06-11,see microsoft offer good work life balance flexibility overall
"Honestly, Employee experience at Microsoft depends on management these days.",2024-05-15,honestly employee experience microsoft depends management day
"Personally, Working at Microsoft has been a great learning experience based on my experience.",2024-02-21,personally working microsoft great learning experience based experience
"As an employee, Burnout is becoming common among Microsoft employees based on my experience.",2024-03-21,employee burnout becoming common among microsoft employee based experience
"From what I see, My experience working at Microsoft has been average so far in recent months.",2024-02-23,see experience working microsoft average far recent month
"Currently, Microsoft layoffs have affected employee morale based on my experience.",2024-05-05,currently microsoft layoff affected employee morale based experience
"In my experience, Work life balance at Microsoft could be better based on my experience.",2024-06-06,experience work life balance microsoft could better based experience
"Currently, Working at Microsoft has been a great learning experience based on my experience.",2024-04-05,currently working microsoft great learning experience based experience
"Currently, Management decisions at Microsoft are frustrating based on my experience.",2024-01-05,currently management decision microsoft frustrating based experience
"As an employee, Overall experience at Microsoft is acceptable based on my experience.",2024-01-27,employee overall experience microsoft acceptable based experience
"From what I see, I enjoy collaborating with talented colleagues at Microsoft for most employees.",2024-06-01,see enjoy collaborating talented colleague microsoft employee
